Order ID,Customer ID,Category,Sales,Quantity,Discount,Profit,Region,Order Date,Ship Mode,Sub-Category
ORD-0001,CUST-8270,Technology,896.39,5,0.24,293.21,Central,2022-06-07,First Class,Copiers
ORD-0002,CUST-1860,Technology,669.8,4,0.21,166.15,Central,2022-07-23,First Class,Copiers
ORD-0003,CUST-6390,Technology,789.51,9,0.49,188.47,Central,2023-10-23,Second Class,Accessories
ORD-0004,CUST-6191,Technology,459.8,5,0.1,236.23,East,2022-03-16,First Class,Accessories
ORD-0005,CUST-6734,Technology,633.94,2,0.11,-92.18,West,2023-01-15,Same Day,Copiers
ORD-0006,CUST-7265,Technology,255.9,8,0.15,-158.1,South,2022-10-31,Same Day,Accessories
ORD-0007,CUST-1466,Office Supplies,708.41,7,0.09,41.45,South,2022-03-03,First Class,Binders
ORD-0008,CUST-5426,Furniture,433.33,8,0.19,57.04,East,2023-07-24,First Class,Furnishings
ORD-0009,CUST-6578,Furniture,448.12,3,0.46,214.59,Central,2022-04-18,Second Class,Tables
ORD-0010,CUST-9322,Office Supplies,652.83,4,0.31,21.89,West,2022-07-06,Second Class,Labels
ORD-0011,CUST-2685,Office Supplies,936.92,5,0.21,85.43,West,2022-08-17,First Class,Paper
ORD-0012,CUST-1769,Office Supplies,73.37,6,0.47,63.54,Central,2022-02-17,Second Class,Art
ORD-0013,CUST-7949,Office Supplies,826.5,1,0.02,-180.9,South,2022-09-25,Standard Class,Paper
ORD-0014,CUST-3433,Technology,299.46,4,0.11,107.61,South,2023-12-28,First Class,Machines
ORD-0015,CUST-6311,Furniture,449.48,5,0.28,214.02,West,2022-09-11,Second Class,Furnishings
ORD-0016,CUST-6051,Technology,31.69,7,0.31,-121.25,West,2022-03-28,Same Day,Copiers
ORD-0017,CUST-7420,Furniture,308.04,5,0.02,97.17,Central,2022-06-30,First Class,Furnishings
ORD-0018,CUST-2184,Furniture,507.6,1,0.2,96.81,South,2022-01-25,First Class,Bookcases
ORD-0019,CUST-5555,Office Supplies,65.61,7,0.32,-117.91,West,2023-01-23,Same Day,Art
ORD-0020,CUST-4385,Technology,496.18,8,0.35,-138.27,South,2022-08-10,Same Day,Machines
ORD-0021,CUST-7396,Office Supplies,927.84,7,0.32,290.03,West,2023-02-01,Second Class,Binders
ORD-0022,CUST-9666,Technology,114.34,4,0.16,-3.14,Central,2023-05-26,Same Day,Machines
ORD-0023,CUST-3558,Furniture,766.8,8,0.05,-86.29,South,2023-07-15,Standard Class,Furnishings
ORD-0024,CUST-8849,Office Supplies,415.57,5,0.21,-114.34,West,2023-03-16,First Class,Paper
ORD-0025,CUST-3047,Office Supplies,658.62,9,0.06,133.8,West,2022-06-24,Standard Class,Labels
ORD-0026,CUST-3747,Furniture,267.63,5,0.47,104.72,West,2022-11-07,Second Class,Tables
ORD-0027,CUST-1189,Furniture,167.9,1,0.24,121.78,West,2022-10-01,Same Day,Tables
ORD-0028,CUST-3734,Furniture,168.86,9,0.16,-156.0,Central,2022-02-04,First Class,Furnishings
ORD-0029,CUST-4005,Office Supplies,79.79,5,0.38,246.77,South,2022-08-05,Same Day,Art
ORD-0030,CUST-5658,Technology,193.79,6,0.25,-5.37,South,2023-12-22,Same Day,Phones
ORD-0031,CUST-2899,Office Supplies,667.58,4,0.16,-43.32,East,2023-11-03,Second Class,Labels
ORD-0032,CUST-8734,Technology,882.87,6,0.41,31.18,South,2023-02-12,Second Class,Machines
ORD-0033,CUST-2267,Office Supplies,815.98,8,0.43,-4.97,East,2023-06-03,Second Class,Art
ORD-0034,CUST-2528,Office Supplies,688.28,3,0.34,231.79,West,2022-09-26,Second Class,Paper
ORD-0035,CUST-4556,Furniture,119.33,5,0.02,264.63,Central,2023-09-30,First Class,Bookcases
ORD-0036,CUST-4890,Technology,296.3,2,0.28,-48.27,Central,2023-04-20,Standard Class,Copiers
ORD-0037,CUST-9838,Office Supplies,316.71,2,0.38,231.97,West,2022-11-21,Standard Class,Paper
ORD-0038,CUST-6393,Office Supplies,257.46,7,0.07,190.76,East,2022-12-22,First Class,Labels
ORD-0039,CUST-9792,Furniture,519.86,6,0.11,265.4,West,2022-03-31,Same Day,Bookcases
ORD-0040,CUST-9433,Furniture,540.2,4,0.44,-77.12,Central,2022-02-11,First Class,Bookcases
ORD-0041,CUST-8513,Technology,363.32,5,0.01,88.48,Central,2022-12-31,Standard Class,Machines
ORD-0042,CUST-3612,Office Supplies,360.25,1,0.38,-62.73,South,2023-11-02,Standard Class,Labels
ORD-0043,CUST-8041,Technology,830.27,7,0.24,212.05,East,2022-07-21,First Class,Phones
ORD-0044,CUST-7235,Office Supplies,791.4,8,0.22,-197.34,South,2023-01-01,Second Class,Art
ORD-0045,CUST-6486,Technology,314.72,9,0.0,82.41,Central,2022-10-15,Same Day,Phones
ORD-0046,CUST-8099,Furniture,914.65,8,0.41,-30.4,Central,2023-08-26,First Class,Tables
ORD-0047,CUST-1775,Office Supplies,953.29,5,0.18,-38.66,South,2023-04-26,Standard Class,Labels
ORD-0048,CUST-9226,Technology,333.48,3,0.27,122.45,South,2023-09-29,Second Class,Machines
ORD-0049,CUST-4152,Furniture,360.88,9,0.34,225.74,Central,2023-05-16,Same Day,Chairs
ORD-0050,CUST-2585,Furniture,510.58,6,0.35,104.6,South,2023-09-30,Standard Class,Bookcases
ORD-0051,CUST-4943,Technology,941.71,5,0.48,226.59,South,2022-02-21,Same Day,Accessories
ORD-0052,CUST-8555,Office Supplies,877.56,3,0.27,-67.7,East,2022-04-13,Second Class,Art
ORD-0053,CUST-4073,Office Supplies,111.54,6,0.2,59.75,Central,2022-12-27,Standard Class,Art
ORD-0054,CUST-2021,Furniture,398.8,3,0.48,25.27,West,2023-02-28,Second Class,Chairs
ORD-0055,CUST-4843,Office Supplies,557.84,6,0.32,-194.18,East,2023-11-30,First Class,Art
ORD-0056,CUST-8989,Office Supplies,508.1,4,0.15,78.41,West,2022-07-24,First Class,Binders
ORD-0057,CUST-7873,Office Supplies,201.92,2,0.06,130.76,South,2022-01-14,Same Day,Labels
ORD-0058,CUST-6675,Furniture,860.23,8,0.42,95.96,South,2023-09-08,Second Class,Furnishings
ORD-0059,CUST-1161,Technology,680.17,4,0.18,168.14,West,2023-09-21,Second Class,Machines
ORD-0060,CUST-5297,Office Supplies,839.53,9,0.33,85.67,South,2023-04-15,Same Day,Paper
ORD-0061,CUST-1995,Furniture,860.18,7,0.24,-166.62,South,2023-04-11,Same Day,Tables
ORD-0062,CUST-8629,Furniture,750.87,2,0.1,-141.78,East,2022-10-31,Same Day,Bookcases
ORD-0063,CUST-2016,Technology,444.82,4,0.3,98.24,West,2023-08-28,First Class,Phones
ORD-0064,CUST-8869,Office Supplies,614.44,5,0.03,-62.51,East,2023-03-03,Same Day,Art
